Plot,Species,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15
1,A,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0
1,B,5,3,7,3,2,9,4,10,7,12,18,13,19,21,20
1,C,12,14,10,7,9,5,6,3,7,2,0,1,3,0,0
1,D,7,11,10,15,9,7,8,5,8,3,2,0,5,4,1
1,E,21,15,17,13,14,24,15,8,3,9,6,2,4,0,3
2,A,3,1,5,2,7,5,1,3,4,5,1,0,3,1,2
2,B,0,3,2,1,0,3,5,7,4,2,3,5,8,4,7
2,C,8,15,10,7,12,6,5,6,2,0,4,3,0,2,1
2,D,12,8,14,13,7,11,5,9,8,6,2,5,1,3,0
2,E,9,2,7,2,4,10,5,3,4,1,0,6,3,2,0
3,A,3,2,6,0,5,2,1,7,3,2,0,1,0,0,1
3,B,0,0,0,0,0,1,0,3,2,5,1,4,7,6,4
3,C,3,8,10,12,7,11,6,4,6,2,1,5,3,2,0
3,D,5,3,12,10,14,11,8,4,9,3,5,2,1,3,1
3,E,9,4,8,6,10,3,7,1,4,6,7,2,3,0,1
4,A,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
4,B,15,18,12,23,16,17,25,16,21,24,15,28,23,22,21
4,C,23,18,27,14,15,17,12,15,9,13,7,11,8,5,7
4,D,12,10,15,18,12,17,13,7,11,6,4,7,0,3,3
4,E,19,8,26,18,25,21,13,5,10,3,7,6,2,5,1
5,A,0,2,0,5,1,0,3,0,0,3,2,1,0,0,2
5,B,0,0,3,0,1,7,4,6,3,9,7,6,8,5,9
5,C,11,7,3,5,2,0,4,1,0,0,0,1,0,0,0
5,D,3,5,2,11,12,4,7,6,5,1,3,0,2,2,1
5,E,7,9,15,6,8,5,4,1,0,7,6,1,9,2,1
6,A,5,3,1,6,2,2,0,3,2,5,0,1,1,3,2
6,B,0,0,1,0,0,3,0,2,1,7,4,1,8,6,9
6,C,10,7,2,8,3,1,0,4,4,0,0,3,1,1,2
6,D,0,2,5,1,7,9,3,5,2,1,0,3,1,0,4
6,E,5,7,8,2,5,5,0,1,3,6,1,0,0,2,1
7,A,0,0,0,1,0,2,1,0,0,0,2,0,0,0,1
7,B,5,7,5,4,10,4,2,12,6,1,9,15,8,7,10
7,C,15,10,12,9,10,7,11,5,8,12,7,6,11,8,10
7,D,0,3,2,5,4,1,6,2,0,1,3,0,4,1,0
7,E,3,7,5,1,2,6,2,7,3,1,0,2,4,0,3
8,A,5,3,6,3,4,8,2,1,6,5,3,2,5,1,4
8,B,5,4,8,1,7,10,3,12,7,15,5,3,8,10,7
8,C,5,7,4,1,2,4,0,3,1,0,3,1,1,0,2
8,D,3,7,10,8,12,7,5,3,4,1,2,3,0,0,1
8,E,7,12,4,15,3,6,11,8,3,12,6,7,15,8,7
9,A,0,0,1,0,0,3,0,1,1,0,2,0,1,0,0
9,B,1,3,6,3,1,7,5,6,9,12,8,7,11,6,10
9,C,3,5,2,7,3,4,1,3,0,2,1,1,4,0,1
9,D,5,3,7,4,1,8,6,3,5,1,4,0,3,0,1
9,E,15,10,12,8,17,13,5,9,15,8,10,3,7,4,6
10,A,5,3,0,1,6,2,1,4,5,1,1,2,0,4,5
10,B,0,0,3,0,2,4,1,6,3,4,7,3,8,9,6
10,C,7,9,5,3,2,1,3,0,4,1,0,2,1,2,1
10,D,8,11,12,9,14,7,10,4,5,8,2,4,2,3,1
10,E,11,9,15,6,8,12,9,11,7,6,10,5,7,4,6
11,A,2,1,0,5,2,3,1,3,0,1,2,7,0,1,3
11,B,7,6,4,9,12,10,7,12,8,11,7,17,16,14,10
11,C,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0
11,D,12,15,10,14,11,16,9,13,10,7,9,10,5,6,3
11,E,11,5,13,8,10,7,19,9,8,5,10,4,7,8,4
12,A,3,1,1,5,0,4,1,3,0,4,1,0,0,3,1
12,B,0,0,1,0,2,4,3,8,7,4,9,5,10,8,9
12,C,21,17,10,15,9,8,5,7,3,5,2,0,4,1,3
12,D,5,4,8,14,17,10,8,9,5,7,2,6,5,1,1
12,E,10,7,12,3,9,4,7,2,5,0,3,2,4,1,2
13,A,0,0,2,1,0,1,0,0,2,1,0,0,1,0,0
13,B,1,3,4,2,0,5,6,9,4,3,7,9,10,12,8
13,C,3,5,2,1,3,2,0,1,3,0,0,1,0,1,0
13,D,12,15,10,17,9,11,7,10,8,4,7,5,3,4,3
13,E,15,11,16,8,9,13,10,7,8,5,12,7,3,6,10
14,A,1,2,0,1,3,0,2,1,1,0,0,1,2,0,1
14,B,2,1,0,3,4,1,5,3,7,9,7,12,8,11,7
14,C,25,22,17,19,15,12,16,10,7,12,9,10,4,6,3
14,D,2,5,3,1,4,5,1,3,2,0,1,2,0,0,1
14,E,6,2,7,3,9,3,1,4,2,0,3,1,4,0,1
15,A,1,1,0,1,0,2,1,0,3,0,0,1,0,2,0
15,B,7,10,5,8,6,12,5,11,7,14,10,9,15,15,18
15,C,17,12,11,15,10,12,8,11,7,5,8,1,4,3,5
15,D,6,6,10,5,12,9,8,3,6,4,1,3,5,2,0
15,E,8,4,10,3,7,6,3,2,3,4,2,1,6,3,2
16,A,0,0,1,0,3,0,1,0,0,1,0,2,1,0,0
16,B,3,5,8,1,2,3,0,7,11,6,12,9,10,8,10
16,C,5,3,8,7,10,5,4,4,8,1,3,5,2,0,3
16,D,1,0,3,2,5,3,2,0,1,2,0,0,1,2,1
16,E,12,16,10,8,11,15,9,6,8,3,7,0,5,6,1